Region,raw q,raw r
acrithia,1,-2.5
allodsbight,2,-1
ashfields,-2,-2
basinsionnach,0,3
callahanspassage,0,1
callumscape,-2,2
clahstra,2,0
clansheadvalley,2,2
deadlands,0,0
drownedvale,1,-0.5
endlessshore,3,-0.5
farranaccoast,-3,0.5
fishermansrow,-4,0
godcrofts,4,1
greatmarch,0,-2
gutter,-4,1
heartlands,-1,-1.5
howlcounty,1,2.5
kalokai,0,-3
kingscage,-2,0
kuurastrand,-4,2
linnmercy,-1,0.5
lochmor,-1,-0.5
lykosisle,5,0.5
marbanhollow,1,0.5
morgenscrossing,-1,1.5
nevishline,-3,0.5
oarbreaker,-5,-0.5
olaviswake,-6,1
onyx,4,-2.5
origin,-3,-2
palantineberm,-5,0.5
paripeak,-5,1.5
pipersenclave,6,-1
reachingtrail,0,2
reaverspass,3,-1.5
redriver,-1,-2.5
sableport,-2,-1
shackledchasm,1,-1.5
speakingwoods,-1,2.5
stemalanding,-4,-1
stlicanshelf,3,0.5
stonecradle,-2,1
tempestisland,4,0
terminus,2,-2
thefingers,5,-0.5
themoors,-1,1.5
tyrantfoothills,5,-1.5
umbralwildwood,0,-1
viperpit,1,1.5
weatheredexpanse,2,1
westgate,-3,-0.5
wresta,4,-1
