Region,raw q,raw r
acrithia,1,-2.5
allodsbight,2,-1.0
ashfields,-2,-2.0
basinsionnach,0,3.0
callahanspassage,0,1.0
callumscape,-2,2.0
clahstra,2,0.0
clansheadvalley,2,2.0
deadlands,0,0.0
drownedvale,1,-0.5
endlessshore,3,-0.5
farranaccoast,-3,0.5
fishermansrow,-4,0.0
godcrofts,4,1.0
greatmarch,0,-2.0
gutter,-4,1.0
heartlands,-1,-1.5
howlcounty,1,2.5
kalokai,0,-3.0
kingscage,-2,0.0
kuurastrand,-4,2.0
linnmercy,-1,0.5
lochmor,-1,-0.5
lykosisle,5,0.5
marbanhollow,1,0.5
morgenscrossing,-1,1.5
nevishline,-3,0.5
oarbreaker,-5,-0.5
olaviswake,-6,1.0
onyx,4,-2.5
origin,-3,-2.0
palantineberm,-5,0.5
paripeak,-5,1.5
pipersenclave,6,-1.0
reachingtrail,0,2.0
reaverspass,3,-1.5
redriver,-1,-2.5
sableport,-2,-1.0
shackledchasm,1,-1.5
speakingwoods,-1,2.5
stemalanding,-4,-1.0
stlicanshelf,3,0.5
stonecradle,-2,1.0
tempestisland,4,0.0
terminus,2,-2.0
thefingers,5,-0.5
themoors,-1,1.5
tyrantfoothills,5,-1.5
umbralwildwood,0,-1.0
viperpit,1,1.5
weatheredexpanse,2,1.0
westgate,-3,-0.5
wresta,4,-1.0
