Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
TheOldCaptain		Seaport	4	Soldier Supplies	true	10	40	A standard issue set of supplies for foot soldiers. Bases must be stockpiled with Soldier Supplies in order for players to spawn.	SoldierSupplies
TheOldCaptain		Seaport	96	Maintenance Supplies	true	100	9600	Supplies for maintaining structures. Store at Bases or Maintenance Tunnels to prevent decay on surrounding structures.	MaintenanceSupplies
TheOldCaptain		Seaport	184	Diesel	true	1	184	Common fuel used to power all vehicles and resource mines.	Diesel
TheOldCaptain		Seaport	149	Heavy Oil	true	1	149	A high grade fuel that's refined from Oil. Used in a variety of applications at Facilities.	FacilityOil1
TheOldCaptain		Seaport	81	Mammon 91-b	true	20	1620	This densely packed, high-explosive grenade is designed to damage structures and vehicles. 	HEGrenade
TheOldCaptain		Seaport	80	Physician’s Jacket	true	15	1200	Physicians in the Warden army are unmatched and this uniform has a plethora of pockets and bags designed to carry and deploy first aid gear easily.	MedicUniformW
TheOldCaptain		Seaport	75	Padded Boiler Suit	true	15	1125	Caoivish armour is unmatched in its design and resilience. All crew are provided with a sturdy boilersuit and satchel belts to access essential tools required for tank maintenance and operation.	TankUniformW
TheOldCaptain		Seaport	75	Sapper Gear	true	15	1125	Caoivish engineers are legendary in song and stature. They wear specialized uniforms, outfitted with belts and bags for easy access to tools and handheld materials.	EngineerUniformW
TheOldCaptain		Seaport	71	Specialist’s Overcoat	true	15	1065	Warden specialists require a uniform designed to optimize their capacity to haul a variety of heavy ammunition.	AmmoUniformW
TheOldCaptain		Seaport	70	7.62mm	true	40	2800	Standard ammunition for rifles.	RifleAmmo
TheOldCaptain		Seaport	66	Explosive Powder	true	40	2640	Resource used for producing explosive weapons.	Explosive
TheOldCaptain		Seaport	63	Wrench	true	5	315	A multipurpose tool. Can be used to dismantle mines/barbed wire and unlock vehicles.	WorkWrench
TheOldCaptain		Seaport	60	Outrider’s Mantle	true	15	900	The Warden army relies on outriders to provide and recieve vital intelligence. Their gear is sturdy and well-suited for extended operations in rugged terrain and inclement weather.	ScoutUniformW
TheOldCaptain		Seaport	56	Blakerow 871	true	20	1120	The Blakerow is a carbine with a high rate of fire compared to its bolt-action predecessor. This increased fire rate does come at the cost of innate stopping power; however, its versatility and lightweight frame more than make up for any perceived shortcomings.	RifleLightW
TheOldCaptain		Seaport	55	Binoculars	true	5	275	An optical instrument used for viewing distant objects.	Binoculars
TheOldCaptain		Seaport	53	Radio	true	5	265	Receives map intelligence updates	Radio
TheOldCaptain		Seaport	51	Water	true	1	51	Water... in a can!	Water
TheOldCaptain		Seaport	51	Barbed Wire	true	5	255	Used to construct Barbed Wire defenses.	BarbedWireMaterials
