Region,raw q,raw r
Acrithia,1.0,-2.5
AllodsBight,2.0,-1.0
AshFields,-2.0,-2.0
BasinSionnach,0.0,3.0
CallahansPassage,0.0,1.0
CallumsCape,-2.0,2.0
ClansheadValley,2.0,2.0
Deadlands,0.0,0.0
DrownedVale,1.0,-0.5
EndlessShore,3.0,-0.5
FarranacCoast,-3.0,0.5
FishermansRow,-4.0,0.0
Godcrofts,4.0,1.0
GreatMarch,0.0,-2.0
Heartlands,-1.0,-1.5
HowlCounty,1.0,2.5
Kalokai,0.0,-4.0
KingsCage,-2.0,0.0
LinnMercy,-1.0,0.5
LochMor,-1.0,-0.5
MarbanHollow,1.0,0.5
TheMoors,-1.0,1.5
MorgensCrossing,3.0,1.5
NevishLine,-3.0,1.5
Oarbreaker,-4.0,1.0
Origin,-3.0,-1.5
ReachingTrail,0.0,2.0
ReaversPass,3.0,-1.5
RedRiver,-1.0,-2.5
Sableport,-2.0,-1.0
ShackledChasm,1.0,-1.5
SpeakingWoods,-1.0,2.5
StemaLanding,-4.0,1.0
StlicanShelf,3.0,0.5
Stonecradle,-2.0,1.0
TempestIsland,4.0,0.0
Clahstra,2.0,0.0
TheFingers,4.0,-1.0
Terminus,2.0,-2.0
UmbralWildwood,0.0,-1.0
ViperPit,1.0,1.5
WeatheredExpanse,2.0,1.0
Westgate,-3.0,-1.0
